"","s_n","date","nepse_index","absolute_change","percentage_change"
"106","104",2021-05-02,2665.11,"53.995","2.0679%"
"107","105",2021-05-03,2652.76,"-12.3493","-0.4634%"
"108","106",2021-05-04,2654.69,"1.9435","0.0733%"
"109","107",2021-05-05,2649.6,"-5.0936","-0.1919%"
"110","108",2021-05-06,2637.13,"-12.4652","-0.4705%"
"111","109",2021-05-09,2618.57,"-18.5629","-0.7039%"
"112","110",2021-05-10,2645.85,"27.4104","1.0468%"
"113","111",2021-05-11,2673.32,"27.4714","1.0383%"
"114","112",2021-05-12,2673.88,"0.5643","0.0211%"
"115","113",2021-05-13,2684.01,"10.1298","0.3788%"
"116","114",2021-05-16,2738.3,"54.2119","2.0198%"
"117","115",2021-05-17,2759.22,"20.7132","0.7564%"
"118","116",2021-05-18,2793.9,"34.6836","1.257%"
"119","117",2021-05-19,2780.81,"-13.0872","-0.4684%"
"120","118",2021-05-20,2787.19,"6.3744","0.2292%"
"121","119",2021-05-23,2820,"32.8144","1.1773%"
"122","120",2021-05-24,2823.07,"3.066","0.1087%"
"123","121",2021-05-25,2816.57,"-6.4981","-0.2302%"
"124","122",2021-05-27,2815.4,"-1.1991","-0.0426%"
"125","123",2021-05-30,2827.93,"12.5363","0.4453%"
